Reviewer,Rating,Review,Reviewer_page,Review_time
Liz Velazquez,4 stars,"I ordered a small cheesecake and a 16 oz Vanilla Matcha Latte, both were good. Staff was helpful and polite. Unfortunately, when I went they only had cheesecakes available and I had planned to get a tart but wasn't able to do so. At the moment the atmosphere in general could do some more work as seating was very basic and decoration was very minimal.",https://www.google.com/maps/contrib/106087475574989405533/reviews?hl=en,a year ago
Afia Ahmed,5 stars,"Cute place and friendly staff.

Coconut tart and Japanese cheesecake taste like the ones we had in Japan",https://www.google.com/maps/contrib/109585619411871294592/reviews?hl=en,4 months ago
Christine Mendez,5 stars,mom and I stopped for fluffy cake and chocolate and mango pies. Oh my gosh! Pies were tasty and cake was so moist and delicious. We will definitely be coming back for more cake.,https://www.google.com/maps/contrib/109990150515578584351/reviews?hl=en,a month ago
Jennifer R,3 stars,"Their regular size is tiny and should only be 5 bucks but it’s 11, Crazy. This interior of the place is nice and the cheesecakes are ok to try if you don’t have anything near you but It’s just a one time thing for me. I’ll go to uncle tetsu for my dose of Japanese cheesecake because it’s more bang for my buck.",https://www.google.com/maps/contrib/111395331749052053425/reviews?hl=en,a month ago
Adan Raya,4 stars,"Must try their fluffy cheese cake at least once, their fruit tarts on the other hand should be on ur regular schedule. Fluffy should start thinking of making the tarts family size",https://www.google.com/maps/contrib/114272466999795035672/reviews?hl=en,2 weeks ago
Ms. G,4 stars,"I ordered the strawberry shake and it tasted like a citric acid shake without sugar. I don’t have a sweet tooth but this was not what I expected at all. It was horrific. I would not recommend the shake to anyone. On the other hand the cheesecake was super delicious! It was quite expensive compared to other Japanese cheesecakes around though. The cheesecake had a nice fluffy flavor to it, my family really liked the cheesecakes! I recommend you to come and taste their cheesecakes. The place is very clean and the staff is friendly.",https://www.google.com/maps/contrib/103654578476394689742/reviews?hl=en,5 months ago
Angel Oms,5 stars,Absolutely delicious. Love this place everything so far is amazing not to sweet the prefect balance between sweet and simple coffee is delicious definitely gonna be a regular here. I’d personally Recommend adding caramel it’s makes it perfect in my opinion.  They should definitely add some music.,https://www.google.com/maps/contrib/109253962635792801914/reviews?hl=en,a year ago
Masoud Roueintan,5 stars,"I have been to Uncle Fluffy twice and my experience with staff and the quality of their food has been amazing 👏
Their cheesecake is awesome and everyone loved how light it was. My favorite tarts are espresso,chocolate, and pistachio.
Highly recommended 👌",https://www.google.com/maps/contrib/112663657257470494490/reviews?hl=en,7 months ago
m r,5 stars,"Very clean, modern feeling cafe. Ordered small cheesecake for myself with cinnamon latte; it was a perfectly sweet and fluffy baked cheesecake. I love this Asian style more than NY style so I was very happy to have found this place! It melts in your mouth with moderate cheese flavor lingering afterwards. Very gentle.
Also, I really appreciated that the cashier immediately informed me about a special type of coffee that I attempted to order - the Turkish Coffee. I didn't know that it was very tiny and thick, and I would have been very confused upon recieving if it weren't for her. Thanks for saving my day! :D",https://www.google.com/maps/contrib/100927809165945841041/reviews?hl=en,4 months ago
J Chuch,5 stars,"Worth the wait. Waited in line maybe 20 mins. Lines kept forming as people placed their orders. The cashier seemed new and nervous. And took a while to count change. She had to turn to someone with any questions asked. Japanese cheesecake was hot and fresh out the oven. Unfortunately, you have to pre-order larger sizes.",https://www.google.com/maps/contrib/105998088705377827192/reviews?hl=en,6 months ago
Bruja Magik,1 star,Wanted to try this place and finally had the time too today.  We finally got a cake but it's very over priced. $44 bucks for an extra large cake. When we got home to finally try it out honestly it was over hyped. Very dry and bland. We were hoping for something different but it fell along the lines of a plain overpriced soufflé. The tarts they had were $5.50 each and smaller than a donut. This would be our last and only time trying this place. Just wasn't good at all. Definitely not worth the hype,https://www.google.com/maps/contrib/112111112816699659497/reviews?hl=en,5 months ago
Keith Bachman,5 stars,"Utterly unique cheesecake, and so much fun to eat! Latte was great and the mango mochi was spot on. Also, this place was sparkling clean",https://www.google.com/maps/contrib/108227422418774686664/reviews?hl=en,a month ago
Boowhoo,5 stars,Cheese cake tastes amazing. Little pricey for the different sizes but still delicious.,https://www.google.com/maps/contrib/113166324674610482896/reviews?hl=en,7 months ago
Ana Rosales,1 star,"Overpriced, overhyped, and terrible customer service. Had to wait in line 25 minutes for this and it just tastes like egg whites sweetened with sugar.  IG did a great job of promoting them, but in real life they’re not worth it. Save your money and go elsewhere.",https://www.google.com/maps/contrib/114025649375504632591/reviews?hl=en,8 months ago
naomi valenzuela,1 star,Very bland and overpriced. Customer service is trash. Waited an extra 20 minutes for my drink that they had forget to make. It would have been longer if I never went up to the counter to ask what was happening. The 2 employees there were leaning on the counters gossiping rather than working. Owner was there and ended up taking a lady's order himself and made sure she got her stuff right away as well as her coffee..that is why our order got disregarded because they attended to her first. The owner then went down to sit with the lady. I see where the employees get their lack of customer service from.,https://www.google.com/maps/contrib/109339133732880362529/reviews?hl=en,4 months ago
daniel Johnson,4 stars,The cheesecake and horchata was delicious.  Would suggest a topping on the cheesecake.,https://www.google.com/maps/contrib/107221755320205768888/reviews?hl=en,4 months ago
Skyler Blunt,1 star,The employee was nice but I didn't respect when I was the first one in line but she decided to take a white lady's order before mine when I got there first. I am a black woman and this is poor service and very embarrassing to the establishment.,https://www.google.com/maps/contrib/110267428642325586292/reviews?hl=en,a month ago
martin meza,5 stars,"I'm not really a fan of cheesecake, but this was tasty and not too Sweet.  Loved it",https://www.google.com/maps/contrib/101323473325554417802/reviews?hl=en,9 months ago
Adriane,4 stars,"This place is a cozy little spot that seems fairly popular with high school kids. It's clean and the workers are friendly. The prices are a bit higher than what I feel they should be for the amount you get, but it's still delicious. The cakes taste like a fusion of custard bread and vanilla ice cream. They also have these tiny tarts which are good and come in multiple flavors, including mango.  Definitely a great place to go for a little snack to pamper yourself.",https://www.google.com/maps/contrib/104465653930856714161/reviews?hl=en,7 months ago
GCellyJelly,5 stars,I got fluffy cheesecake and the blueberry tart and the vanilla iced matcha latte! Super delicious! And they have mini nutella! Definitely worth checking out!,https://www.google.com/maps/contrib/109608838244199096772/reviews?hl=en,a year ago
Eric Saavedra,2 stars,Very expensive for what you get. If your interested in trying this I can see why but I would not go back just because of the price. Not sure what the big deal is. I would have rather had plan old cheese cake.,https://www.google.com/maps/contrib/115509674802546127712/reviews?hl=en,2 months ago
Joshua Boothe (Joshua Boothe),3 stars,"Uncle Fluffy is a novelty experience and little else. Worth trying but It isn’t something we would venture out for again. The service staff was super friendly and helpful though. We ordered the promotion of a regular cheesecake with a 12 oz coffee. An iced white cinnamon mocha, a peppermint snow shake, a strawberry banana mango smoothie, green tea and mango mochi and a pistachio tart. The best was the mochi. I love cheesecake but this version of it was not for me. The tarts were ok. The peppermint shake was more like peppermint milk. The iced mocha, coffee and smoothie were ok at best.",https://www.google.com/maps/contrib/111545342495481568669/reviews?hl=en,5 months ago
Katt Hdz,5 stars,"Update 5/31

I went back and I was provided credit on my purchase. I had the receipt and the girl was really nice and helpful. Thank you
My first time here and the person at the register over charged me for the syrup, menu says $1.75 each and also the menu I was charged $ 2.50 each. I may go back and hopefully I can get fix. Never a good first impressions when you get overchar",https://www.google.com/maps/contrib/104562220442082461038/reviews?hl=en,6 months ago
Rene Motufau,5 stars,The pastries were good. The tarts were excellent.  The fluffy cakes were good but I really enjoyed the tarts more. The frozen ice Carmel mocha delicious  not sweet at all. The costumer service was outsatanding. I ordered and ate there but I ended up ordering more to take home. I would recommend  this place to try. Thank you staff members for your great service.,https://www.google.com/maps/contrib/111025865156239998890/reviews?hl=en,10 months ago
Vincent Marcuccella,3 stars,"I have to say I was really excited to try this place. Social media had It really hyped. The line was out the door. By the time I ordered, the cheesecake was sold out. I was asked yo wait 20+ minutes for my order. 27$ for a large. I have to be honest. I was not impressed. It lacked sweetness, I had to add chocolate sauce and whipped cream. In my opinion it's not worth it. Go to a reputable bakery and spend the money on a real cheesecake.",https://www.google.com/maps/contrib/109934670850037343774/reviews?hl=en,9 months ago
Ricky Parker,5 stars,My wife and I drove 45 miles to expience the uncle fluffy (Japanese Cheesecake) and I got the strawberry shortcake shake. Both items were unbelievably delicious good staff and clean restaurant. I highly recommend to fellow foodies on a sweet tooth..👌☺️👍,https://www.google.com/maps/contrib/114689398004980526002/reviews?hl=en,7 months ago
Jennifer Adomeit,4 stars,I ordered a sm cheesecake & a medium cheesecake apparently there was a buy a cheesecake & get a free coffee with your purchase that I didn't know about & wasn't told about either that day. Which I would have been interested in & would have given the cashier a bigger tip. Not my problem the cheesecake was GREAT! I would order it again. Just the cheesecake though. Since the employees didn't seem too excited about upselling fruit on the cheesecakes or anything like that cause once again I didn't know I could do any of that till after I left! GET BETTER CASHIERS!!!!,https://www.google.com/maps/contrib/116711573000962581295/reviews?hl=en,8 months ago
Carlos Rubio,4 stars,"Well I ordered a regular coffee it was good However it was only warm, I like hot coffee ! The regular cheese cake was good but a little overpriced. The tarts are small but tasty. I won’t make a special trip there just to get another fluffy cheesecake.",https://www.google.com/maps/contrib/100026247458093094478/reviews?hl=en,11 months ago
Heroes Vamp,5 stars,"Had the peppermint frozen coffee 24oz, pretty good if you don't enjoy a strong peppermint flavor and more of a chocolate flavor (price as of 1/3/24 $6.75, after tax $7.34), sampled the cheesecake it's light, fluffy and melts in your mouth and doesn't taste like regular cheesecake, im going to have to get one for my mom's birthday (she loves cheesecake but never has had Japanese cheesecake cake. I walked in maybe wait a minute, cute atmosphere, lady was really nice and helpful, started to take my order then another lady came out and finished taking my order as the 1st lady went to make my drink, then the 2nd one went back in the back, then the 1st lady finished my drink asked if I wanted whipped cream (no extra charge) had a short conversation it I liked it asked to sample the cheesecake asked if I enjoyed it, great experience for my 1st time and definitely may go back a few times",https://www.google.com/maps/contrib/109195307993623114809/reviews?hl=en,11 months ago
Robin O.,5 stars,"Not much to the atmosphere. It was busy, and the tables were full of patrons.  Maybe reminiscent of a bright coffee shop.  The cheesecake is obviously the star of the show.  Go get you one or two.  I hoped to purchase  a large cheesecake, but we had to settle for 2 individual pies so we didn't have to wait 45 mins as we were traveling thru our hometown where we grew up.",https://www.google.com/maps/contrib/109287298429947989522/reviews?hl=en,8 months ago
Kenya Uriarte,5 stars,Although it is a bit pricey what they have to offer is very delicious and the drinks are regular pricings nothing too crazy the young lady who took and made my order was so sweet and fast paced my drink was yummy,https://www.google.com/maps/contrib/103350702604739141204/reviews?hl=en,2 months ago
Jose Perales,5 stars,The cheese cake is delicious. The smell does not match its delicious taste. You honestly need to try it.,https://www.google.com/maps/contrib/115845406397840036611/reviews?hl=en,10 months ago
Lilo Ava Ava Lilo,1 star,Food was good but they need more help. Came in on a Tuesday morning just 1 person working the wait was about 15-20 min. went in for 4 regular cheese cakes.,https://www.google.com/maps/contrib/102069135696077637357/reviews?hl=en,6 months ago
Julian Alonzo,1 star,"I wanted this to be a 5 star review, their social media is on point, however the cheesecake was ok and customer service was terrible. Everything was sold out except the XL cheesecake and I did not drive an hour and a half for nothing, so I bought it. You can imagine how bad I wanted it to be worth the drive, but it just wasn’t. Keep up the good work on social media! Whoever is doing it, is doing a great job.",https://www.google.com/maps/contrib/104906056747565312346/reviews?hl=en,9 months ago
Victoria No,4 stars,"I tried two tarts, a pistachio and blueberry one, and a mocha coffee. Their coffee is not that good. I personally wouldn't get it again... Their tarts are fine. Nothing crazy. Apparently their puffy cheesecakes are popular so I think I got the wrong food items but I didn't know what they were popular for. If you want to try a not too sweet mild flavor tart try the tarts! Skip the coffee!",https://www.google.com/maps/contrib/113051406058537697582/reviews?hl=en,10 months ago
Anita Maaia,5 stars,My  experience was awesome love there good tasty treats and awesome drinks .I definitely give them 5 stars and have already recommended them to my friends and family. Good job Uncle Fluffy.,https://www.google.com/maps/contrib/112026169086430490719/reviews?hl=en,6 months ago
Ale M2,1 star,Not fluffy and cold not the cloud texture Japanese cake known for,https://www.google.com/maps/contrib/114997958232624923018/reviews?hl=en,3 months ago
My life my way,1 star,I really felt like trying this place but after reading all the lowest reviews I feel no business should be know for bad customer service because the customer is what keeps you in business plus the owners comments feel like he responds with some kind of additude like feeling entitled to have people just give out five star reviews even when they don’t deserve them,https://www.google.com/maps/contrib/100481453191356384941/reviews?hl=en,5 months ago
Veronica Ruiz,5 stars,"Came here for the Japanese cheesecake. Even tho it wasnt freshly made and wasnt jiggly how i thought,  It was still delicious with Strawberry syrup as my topping. The cashier was very kind and has samples to try. They also sale boba...",https://www.google.com/maps/contrib/103193255788845751634/reviews?hl=en,a year ago
Amy Braham,1 star,"We stopped in here to try the cheesecakes, when we walked in and waited by the counter the owner or manager was scolding several female employees. He was in their face intimidating them with their heads down about to cry. He then put his finger in their faces and continued to berate them as we waited at the counter. I asked if the poor girl was ok because she looked visibly upset. I don't appreciate an owner or any management treating employees like that regardless if they did anything wrong. I can also tell by the responses to the reviews they are unprofessional. Treat your employees better.
EDIT: Definitely not a scam I bought 2 cakes.  Your response is very telling and makes no sense, this isn't your first review about the owner berating employees. Do better. Be better.",https://www.google.com/maps/contrib/110666410081216213340/reviews?hl=en,8 months ago
Yolanda Martinez,5 stars,The cheesecake was really good and fresh. Great customer service.,https://www.google.com/maps/contrib/115177824988875120949/reviews?hl=en,10 months ago
sou soliman,5 stars,"Uncle Fluffy's fluffy cakes are simply amazing! The texture is light and airy, almost like biting into a cloud, and the tarts flavors are rich and indulgent, making every bite a delightful experience. The store itself has a charming ambiance, and the staff are always friendly and welcoming. If you're a cake lover, Uncle Fluffy is a must-visit!",https://www.google.com/maps/contrib/114858820297522291029/reviews?hl=en,8 months ago
Cole Adams,2 stars,"The marketing A+
I saw an ad in my feel love cheesecake so I tried it the next day
I don’t want t to hold the cheesecake against them. It’s Japanese style and the first I ever had. Much more of an egg flavor
The service was terrible. They had no system of know Whoes order was who’s. After seeing them handing out orders to people who ordered 20 minutes after me I has to get involved to get my food. All the worked seem bleh about working there.
The entire experience is subpar
I think the milk product in my coffee was sour
6 store bought macarons for 10 buck meh
12 dollar plain cheesecake I can get a store bought sause squeezed for an up charge meh
I think I’ll just go else where",https://www.google.com/maps/contrib/107238409898302341374/reviews?hl=en,10 months ago
Jose Hurtado,4 stars,Cheese cake is good but don't get their matcha or smoothies tasted not authentic,https://www.google.com/maps/contrib/115877104044672473393/reviews?hl=en,4 months ago
Richard Rios,4 stars,"So I had the cheesecake twice and the pistachio tart once. First time I had the cheesecake it was FANTASTIC the second it was just good. A little comparison between the two first time light, fluffy, wonderful texture, not overly sweet, with a really beautiful hint of lemon! Second time really nice lemon note was missing and texture wasn't quite as good. Not bad just not as good as the first time. For 9.99 per cheesecake I would hope for a bit more consistency. I would happily pay it for the first cheesecake I bought, but if I had been given the second first I would pass as the value wouldn't be there for me personally. The pistachio tart was ok. Crust was a bit overcooked...As I left I noticed a sign in the window indicating they were looking for a baker...in any event I'll go back and do recommend giving them a try. If they can get the consistency down I'll be a happy fairly regular customer. If not the value wouldn't be there for me personally. I really do hope they find a baker as I would love to have Uncle Fluffy sick around.",https://www.google.com/maps/contrib/116398066229851985436/reviews?hl=en,a year ago
Frances Tabor,4 stars,"Fun experience, a bit pricey but worth the trip.",https://www.google.com/maps/contrib/114924628520038616363/reviews?hl=en,10 months ago
Ale Q,5 stars,Best coconut cream tart ever !! 🤌🏻🤌🏻🥰 they’re pancakes are pretty good as well!,https://www.google.com/maps/contrib/101001744161243364836/reviews?hl=en,8 months ago
Rodolfo Bermudez,3 stars,It would have been nice if they had cake ready before they opened the facility.,https://www.google.com/maps/contrib/104910262999871999806/reviews?hl=en,3 months ago
Christie Eggers,3 stars,"Well when they say a SMALL cheese cake, they are not kidding! 3inches small for $10. Probably won't go back for more.",https://www.google.com/maps/contrib/100685152054344167226/reviews?hl=en,9 months ago
Christopher Acosta,3 stars,"It was ok, they were out of almost everything so only got the cheesecake. It was ok, nothing espectacular. I did not hate it, I liked it. I would have it again, but only if I’m in the area. I was there late so I will be back earlier and see if maybe that was why my experience was sub-par. If it changes, then so will the review.

I was excited because we don’t have to drive all the way to LA, but the ones in LA are top tier, so hopeful to come back earlier and hope my experience has changed.",https://www.google.com/maps/contrib/106362770454652917587/reviews?hl=en,9 months ago
susanna osama,5 stars,"I can't get enough of Uncle Fluffy's cake! They're always fresh, and the texture is just amazing. Plus, the store has a cozy atmosphere that makes you want to stay and enjoy your cake even more",https://www.google.com/maps/contrib/110548527944938626111/reviews?hl=en,8 months ago
George Riad,5 stars,"Rafik the owner welcomed me into the place when i tried them out. He runs the cafe with family friendly vibe and you can sense he looks at the team as if they are his kids.

The Japanese cake was flavorful and fresh while their drinks are delicious.

Will be coming back for sure",https://www.google.com/maps/contrib/106445587348917358019/reviews?hl=en,11 months ago
Daniel Alba,5 stars,"Went midday on a Saturday. No packed. Great service, great mango swirl, great banana swirl, and amazing cheesecake.",https://www.google.com/maps/contrib/108078595816940542425/reviews?hl=en,5 months ago
Paul Jay,1 star,"Like many other people, we saw this on social media and wanted to try it. The place looked clean, had maybe 4 young employees and what I assume was the owner, he walked inside, behind the counter and while we started to order he called one of the employees stupid! It was very strange, they walked into the back and we couldn’t hear anything else. The food and drink was just blah, but the employee being called stupid was all we could think about.",https://www.google.com/maps/contrib/107519712988381020818/reviews?hl=en,6 months ago
Jeff Hung,5 stars,"We were invited here for the pre-grand opening, the decor is very modern and clean! Uncle Fluffy Japanese Cheesecake with varieties of toppings to choose from. Staff members were super nice and friendly. You can test samplers before ordering, price is on the expensive side. Overall, we really enjoyed it. You can also smoothies, coffees,  and etc. Although the menu scroll pretty fast!",https://www.google.com/maps/contrib/100144214342348682044/reviews?hl=en,2 years ago
Erica Palafox,3 stars,Got here about 4:45 and it’s now 5:27pm and everything is almost sold out and literally out of tarts and flavors for the cheese cakes. The ovens should really be up and running especially 3 hours before closing plenty of time to get more done!! Ridiculous how you gonna hype up your business yet run out of stuff not one hour not two but literally few hours before closing!! Management needs to really work on the kitchen prep and inventory for the day honestly biggest disappointment,https://www.google.com/maps/contrib/116118780235481024985/reviews?hl=en,10 months ago
CM,3 stars,"Ok cheesecake-I’ve have better ones. But , ridiculously ***overpriced***. A tiny ! tiny ! Piece enough for one person(size of a mini tart) is $12 after tax . The cashier whom I suppose is the owner -is not welcoming at all . He’s just ready to ring you up .",https://www.google.com/maps/contrib/105675887312043407920/reviews?hl=en,9 months ago
Reginald Barnes,4 stars,"First time trying and won't be the last. The Japanese cheese cake was very delicious, and the frozen horchata was awesome 👌. Meun is a little pricey but worth it. Can't wait to try the rest of the meun.",https://www.google.com/maps/contrib/114053020642076144014/reviews?hl=en,10 months ago
Jack Adams,2 stars,"I was really excited for this place but I felt that the prices were a lot of what you’re being given. The cheesecake was okay, but I wish there was more toppings or flavors for the cheesecake besides the sauces. The customer service was also… not amazing, which caught me off guard.

Like I understand food industry jobs are hard, but I’ve gotten better service at places like McDonalds or Canes where the line is never ending and workers were always on their feet. My friend and I were the only people at the store and the staff made it feel like we were inconveniencing them by coming in.

Overall I understand the business just started, so I’m hoping the aspects I felt underwhelmed by will improve but at first visit, my experience was disappointing.",https://www.google.com/maps/contrib/115861214292958329766/reviews?hl=en,a year ago
AnnMarie McCoy,2 stars,"My hub and I were super excited to try the Japanese cheesecake at Uncle Fluffy. When we entered the establishment, an employee looked at us as if we were an inconvenience (he seemed to be the boss/manager). He did not greet us in any way and he acted rude.  We should have left, but fortunately, the person who helped us was kind and had great customer service. However, while we were ordering, the boss went behind the counter and started reprimanding one of the employees making the cheesecake in a way that was causing everyone discomfort. I felt embarrassed for the employee as it was unethical and unprofessional. I doubt we will ever return to this place due to the lack of professionalism. The cheesecake and tarts were tasty, but not tasty enough to return!",https://www.google.com/maps/contrib/103443090905727459533/reviews?hl=en,a year ago
GUS SANDOVAL,4 stars,"The Japanese cheesecake was amazing.  The drinks are good, but the servers don't acknowledge you until they feel like it.  I got the feeling that the 3 girls behind the counter were not on speaking terms with each other. We tried being friendly and screamed out ""thank you"" before we walked out and they didn't even look up to aknowledge us. The owner needs to look into this because you are only as good as your weakest employee.  Good food with bad service is no bueno.",https://www.google.com/maps/contrib/109633093787000300717/reviews?hl=en,a year ago
Suzie Marroquin,1 star,"Went in and the place was not even packed and the girl at the counter saw us and and didn't bother to help. She then answered yhe phone and I waiting,  I understand when they have to multi task but then she was done after like 5 min of being on the phone and doesn't even look at us as walks away and didn't come back to take our order so I left.",https://www.google.com/maps/contrib/107767537279877747605/reviews?hl=en,7 months ago
Daniel Sanchez,5 stars,"I order a large cheesecake from here through doordash . Originally disappointed with the size, but the first bite of cake shut my yapping. It was great tasting cake. Would buy again.",https://www.google.com/maps/contrib/116732840765626217715/reviews?hl=en,10 months ago
Shae'Von Huerta,5 stars,"Do you remember those viral fluffy cheesecake videos?!

Look no further for the prettiest aesthetic and delicious fluffy cheesecake. Not to mention the samples are waiting for you.

We got an original small for our kiddos to share after dinner tonight. The offerings aren’t limited to just the fluffy goodness beverages are in site as well. So make the trip!",https://www.google.com/maps/contrib/115404407384184984126/reviews?hl=en,a year ago
Gabriel Colon,1 star,"If you have ever wondered how it feels to be invisible, shop here. After standing in line for a couple of minutes (I was the only one in line) I had to ask the lady behind the counter what I needed to do to place my order. She seemed bothered by my question. It is really hard to find good employees these days, and these kids raised on the internet have less personality than a robot.",https://www.google.com/maps/contrib/112366614723613544722/reviews?hl=en,a year ago
Christian Hernandez,5 stars,Cheesecake was soo good but a little too pricy for me to buy more all the time wish it was cheaper plus asking for a tip was just crazy to me with those prices plus a tip is insane,https://www.google.com/maps/contrib/112483126273002780774/reviews?hl=en,7 months ago
jenny cordon,5 stars,"Yes, it costed me $25 but you can not find this anywhere else! I’ve been dying to try uncle fluffy before it came to the states and it’s such a cool thing how it’s out here now! Great quality and I think it’s well worth the price!",https://www.google.com/maps/contrib/102519926393413022962/reviews?hl=en,9 months ago
Nweran Jaber,1 star,Arrived 18 min before they close and the doors were locked and employees pretended like I wasn’t there. I drove 45 min for this place and I will never consider it again. Instead I would rather drive a bit more and go to Mr Testu or anywhere else but not this poorly ran location.,https://www.google.com/maps/contrib/100960937375223663562/reviews?hl=en,8 months ago
Paul “MaKin BaKON” Castillo,5 stars,Was waiting for something like this to come nearby. The cheesecake and tarts are awesome! A definitely must try if you've never had them. The place and the service was great. Will definitely be added to the must have rotation.,https://www.google.com/maps/contrib/105662682521011990505/reviews?hl=en,2 years ago
Dacy Nottingham,4 stars,"Good eats, but it's expensive.  Not quite worth what they charge.  Social media has made them busy. We'll see if they can stay as popular as the years go on.",https://www.google.com/maps/contrib/101959094689945059416/reviews?hl=en,9 months ago
Reyna Barrios Nava,4 stars,😋,https://www.google.com/maps/contrib/106186919790317932585/reviews?hl=en,7 months ago
